Product_ID,Product_Name,Category,Attribute,Carbon_Footprint_kgCO2e,Water_Usage_Liters,Resource_Sourcing,Manufacturing_Impact,Certification,Compliance_with_Standards,User_Preference,Price_Range_USD,Availability,Brand
26248,PureEarth Vegan Lip Balm,Beauty,Biodegradable,39.67,45.57,Sustainable,Low,FSC,None,Recyclable,283.06,In Stock,NaturePro
35068,PureEarth Camping Stove,Outdoor,Biodegradable,9.95,199.04,Non-Sustainable,Medium,None,ISO 14001,Low Carbon,52.84,In Stock,NaturePro
34591,EcoSmart Biodegradable Sleeping Bag,Outdoor,Low-Waste,42.29,53.27,Sustainable,High,USDA Organic,None,Organic,480.31,Out of Stock,GreenChoice
16669,PureEarth Camping Stove,Outdoor,Energy-Efficient,22.18,118.51,Sustainable,High,None,None,Eco-Certified,433.85,Out of Stock,CleanEarth
12197,EcoSmart Energy-Efficient Speaker,Electronics,Renewable Material,6.82,123.9,Sustainable,High,None,ISO 14001,Eco-Certified,176.49,In Stock,EcoBrand
2601,EcoEssentials Organic T-Shirt,Clothing,Biodegradable,63.14,91.71,Non-Sustainable,Medium,FSC,None,Energy Efficient,390.6,In Stock,SustainCo
9048,SustainPlus Cruelty-Free Moisturizer,Beauty,Biodegradable,16.64,101.85,Sustainable,High,Fair Trade,None,Organic,393.18,In Stock,GreenChoice
2207,PureEarth Eco-Friendly Jeans,Clothing,Organic,80.81,33.86,Partially Sustainable,Medium,Energy Star,None,Recyclable,309.84,Out of Stock,EcoBrand
25608,EcoSmart Reusable Planner,Office Supplies,Organic,98.73,123.1,Non-Sustainable,Low,Fair Trade,None,Organic,345.08,In Stock,EnviroGoods
11607,SustainPlus Hiking Backpack,Outdoor,Renewable Material,5.37,18.92,Sustainable,High,Fair Trade,None,Low Carbon,272.86,In Stock,EcoBrand
3625,GreenLife Solar Lantern,Outdoor,Biodegradable,46.08,29.18,Non-Sustainable,Medium,None,ISO 14001,Organic,239.19,Out of Stock,SustainCo
43028,EcoSmart Reusable Planner,Office Supplies,Renewable Material,11.61,168.65,Non-Sustainable,Medium,FSC,ISO 14001,Low Carbon,306.28,Out of Stock,SustainCo
15191,SustainPlus Smart Thermostat,Electronics,Recyclable,12.2,129.8,Non-Sustainable,Low,Fair Trade,ISO 14001,Recyclable,103.29,Out of Stock,GreenChoice
25817,EcoSmart Recycled Fabric Scarf,Clothing,Organic,91.28,58.44,Non-Sustainable,Medium,None,None,Low Carbon,19.07,In Stock,EnviroGoods
26371,SustainPlus Cruelty-Free Moisturizer,Beauty,Renewable Material,8.77,53.79,Partially Sustainable,High,Energy Star,None,Recyclable,207.87,Out of Stock,GreenChoice
1282,GreenLife Gluten-Free Pasta,Food,Recyclable,49.2,111.75,Partially Sustainable,Low,Fair Trade,ISO 14001,Organic,227.23,Out of Stock,GreenChoice
29434,EcoSmart LED Lamp,Home Appliances,Biodegradable,72.71,121.58,Partially Sustainable,Medium,FSC,ISO 14001,Energy Efficient,266.41,In Stock,CleanEarth
36257,EcoSmart Biodegradable Sleeping Bag,Outdoor,Renewable Material,47.86,59.37,Partially Sustainable,High,None,None,Energy Efficient,267.72,Out of Stock,SustainCo
34218,PureEarth Camping Stove,Outdoor,Energy-Efficient,6.75,35.99,Partially Sustainable,High,FSC,ISO 14001,Energy Efficient,307.11,In Stock,EnviroGoods
39951,EcoSmart Reusable Planner,Office Supplies,Organic,80.74,19.49,Sustainable,Low,Fair Trade,ISO 14001,Recyclable,262.08,In Stock,SustainCo
6757,GreenLife Solar Fan,Home Appliances,Low-Waste,71.62,54.48,Non-Sustainable,Low,Energy Star,None,Recyclable,209.96,Out of Stock,GreenChoice
26653,EcoEssentials Recycled Notebook,Office Supplies,Biodegradable,77.17,170.17,Partially Sustainable,High,Energy Star,ISO 14001,Recyclable,343.22,Out of Stock,EnviroGoods
3992,EcoEssentials Energy-Saving Kettle,Home Appliances,Organic,75.46,29.05,Partially Sustainable,High,None,ISO 14001,Low Carbon,34.31,In Stock,GreenChoice
40313,SustainPlus Almond Milk,Food,Biodegradable,47.56,107.68,Sustainable,Low,Energy Star,ISO 14001,Eco-Certified,136.33,In Stock,NaturePro
24581,EcoEssentials Organic T-Shirt,Clothing,Recyclable,79.69,131.43,Sustainable,Low,Fair Trade,ISO 14001,Organic,275.89,In Stock,SustainCo
4950,EcoSmart Energy-Efficient Speaker,Electronics,Energy-Efficient,58.05,66.67,Partially Sustainable,Medium,USDA Organic,None,Organic,452.19,In Stock,SustainCo
18784,PureEarth Recycled Blender,Home Appliances,Low-Waste,33.66,21.94,Non-Sustainable,Medium,Energy Star,None,Eco-Certified,297.21,Out of Stock,EnviroGoods
39206,SustainPlus Almond Milk,Food,Biodegradable,15.84,74.06,Partially Sustainable,Low,Fair Trade,None,Organic,397.99,In Stock,CleanEarth
23785,GreenLife Solar Lantern,Outdoor,Low-Waste,19.76,176.58,Sustainable,Medium,FSC,None,Low Carbon,180.85,Out of Stock,CleanEarth
39509,SustainPlus Eco-Friendly Stapler,Office Supplies,Recyclable,71.01,134.23,Sustainable,Low,Energy Star,ISO 14001,Eco-Certified,323.07,Out of Stock,EcoBrand
19063,GreenLife Cotton Socks,Clothing,Low-Waste,6.28,35.12,Partially Sustainable,Medium,None,None,Organic,111.09,Out of Stock,SustainCo
48141,GreenLife Cotton Socks,Clothing,Low-Waste,37.3,32.17,Non-Sustainable,Low,FSC,None,Organic,136.06,Out of Stock,CleanEarth
11315,GreenLife LED Light Bulb,Electronics,Recyclable,86.97,72.98,Non-Sustainable,High,Energy Star,None,Energy Efficient,17.58,In Stock,EcoBrand
767,PureEarth Recycled Blender,Home Appliances,Energy-Efficient,28.7,70.15,Partially Sustainable,Low,Energy Star,None,Low Carbon,37.55,Out of Stock,EcoBrand
39320,PureEarth Recycled Paper,Office Supplies,Renewable Material,3.4,27.29,Non-Sustainable,Medium,Fair Trade,ISO 14001,Low Carbon,38.59,In Stock,GreenChoice
